"month_n","state_n","district_n","sub_district","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Jalgaon","Amalner",1206,529,67,371,211,902,14,0.66,4.34,17.18,5.24,10.69,2.03,10.07
"Dec","Maharashtra","Jalgaon","Bhadgaon",2218,1015,211,584,312,1426,15,2.03,7.65,31.10,9.76,16.29,2.92,8.57
"Dec","Maharashtra","Jalgaon","Bhusawal",3458,2040,472,932,539,2112,47,2.32,6.91,26.89,9.98,12.06,2.45,13.62
"Dec","Maharashtra","Jalgaon","Bodvad",1268,576,110,429,243,1084,13,1.93,9.46,32.34,10.10,22.80,4.17,27.66
"Dec","Maharashtra","Jalgaon","Chalisgaon",4365,2730,398,967,678,2784,65,1.93,6.61,34.36,13.22,15.34,3.00,17.91
"Dec","Maharashtra","Jalgaon","Chopda",3314,1618,243,775,416,2110,34,1.33,5.57,26.96,8.84,13.20,2.17,12.06
"Dec","Maharashtra","Jalgaon","Dharangaon",1637,900,149,455,297,1276,23,1.82,7.39,31.01,11.00,18.32,3.46,20.00
"Dec","Maharashtra","Jalgaon","Erandol",1778,1183,137,317,230,1022,15,1.65,5.45,35.53,14.19,13.51,2.48,11.72
"Dec","Maharashtra","Jalgaon","Jalgaon",5847,2759,304,1205,609,3038,49,1.18,5.84,33.24,10.66,12.45,2.08,11.11
"Dec","Maharashtra","Jalgaon","Jamner",5603,3322,238,847,747,3806,56,1.12,5.12,42.06,15.65,18.35,3.01,20.90
"Dec","Maharashtra","Jalgaon","Muktainagar",3125,1066,213,637,318,1727,23,1.78,7.09,34.93,8.89,16.67,2.59,12.71
"Dec","Maharashtra","Jalgaon","Pachora",2995,1493,191,607,353,1755,31,1.25,5.22,29.31,9.75,12.98,2.17,13.08
"Dec","Maharashtra","Jalgaon","Parola",1457,880,105,420,186,925,17,1.04,5.21,23.17,8.72,10.51,1.76,15.04
"Dec","Maharashtra","Jalgaon","Raver",3690,2106,348,792,468,2278,50,2.02,6.61,33.57,12.20,14.80,2.52,16.72
