month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svr_wstg,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wasting_percent,stunting_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_intd_6to8mnth_cf_child,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Jan,Maharashtra,Raigad,12894,6161,519,1892,1692,6539,177,2.75,21.75,8.2,13.59,1160,9938,30927,31750,33940,1456,13369,34321,79.67,74.34,90.11,92.51,98.89,84.04,30.23,82.37,10.18,16.51,92.46,92.36,71.15
Jan,Maharashtra,Ratnagiri,11962,5453,332,1863,1305,7242,118,3.68,29.13,13.22,14.75,704,5528,17404,18822,19533,884,7265,19667,79.64,76.09,88.49,95.7,99.32,86.72,35.96,82.93,13.06,12.47,94.58,94.6,75.43
Jan,Maharashtra,Sangli,17107,6871,888,3457,1644,8604,196,3.41,18.8,7.4,11.32,1591,12662,41583,41711,44598,2052,17274,45068,77.53,73.3,92.27,92.55,98.96,85.94,15.2,84.58,13.03,8.15,91.39,91.12,72.22
Jan,Maharashtra,Satara,19643,9935,596,2597,1832,9409,200,2.5,23.11,7.89,11.76,1485,12961,42390,43677,45569,1930,16932,45930,76.94,76.55,92.29,95.09,99.21,88.5,34.66,88.44,15.97,13.62,95.84,95.64,78.13
Jan,Maharashtra,Sindhudurg,5664,4308,167,1133,855,3956,62,5.01,38.33,17.68,18.24,294,2335,7183,7994,8422,363,3261,8492,80.99,71.6,84.59,94.14,99.18,82.85,32.11,76.56,17.63,10.91,91.62,91.24,71.99
Jan,Maharashtra,Solapur,35606,19145,1799,5714,3535,17307,399,3.7,26.94,8.81,13.44,2688,23098,72554,72618,78571,3460,30448,79618,77.69,75.86,91.13,91.21,98.68,88.46,21.64,85.48,9.23,10.26,93.66,93.24,72.81
Jan,Maharashtra,Thane,43355,23907,3225,10948,7094,29898,367,6.93,32.83,16.18,17.48,1883,18854,67932,67265,74116,2380,24956,74929,79.12,75.55,90.66,89.77,98.91,87.5,17.54,85.6,13.27,11.91,94.12,93.94,73.57
Jan,Maharashtra,Wardha,11722,8659,728,2054,2356,8777,165,5.4,39.52,16.87,17.12,822,6547,19001,19086,20693,1106,8607,21042,74.32,76.07,90.3,90.7,98.34,81.04,25.44,84.5,16.25,17.35,95.07,94.31,76.69
Jan,Maharashtra,Washim,14985,8897,506,1725,2008,7781,175,3.27,35.01,13.19,17.8,882,7178,21238,20352,23107,1163,9728,23605,75.84,73.79,89.97,86.22,97.89,86.71,26.95,84.16,14.86,17.25,93.63,92.72,74.27
Jan,Maharashtra,Yavatmal,30013,22271,1642,5451,5371,19087,360,5.19,38.2,15.77,16.9,1912,15259,44504,42682,47929,2451,20793,48843,78.01,73.39,91.12,87.39,98.13,84.12,19.75,83.15,15.25,15.84,90.21,89.34,72.22
Nov,Maharashtra,Ahmadnagar,38634,23349,2485,8012,6127,24283,489,4.3,25.35,11.8,12.41,3545,26205,77765,77953,83203,4571,33750,84457,77.55,77.64,92.08,92.3,98.52,88.42,24.46,87.05,11.1,14.66,94.85,94.38,76.27
Nov,Maharashtra,Akola,13171,9326,1265,2661,2088,7850,197,6.07,34.7,13.12,14.91,1159,8535,23206,22468,26470,1588,11996,26934,72.98,71.15,86.16,83.42,98.28,77.75,9.52,73.51,15.7,7.88,89.57,89.14,71.36
Nov,Maharashtra,Amravati,29860,23214,2610,6111,6573,22977,364,7.59,46.1,22.61,16.58,1896,13538,40026,39352,44711,2552,19231,45636,74.29,70.4,87.71,86.23,97.97,80.25,32.57,77.45,23.37,19.98,89.18,88.64,70.04
Nov,Maharashtra,Aurangabad,41460,27146,3441,8835,8247,28625,632,6.92,38.63,18.83,22.69,2576,19935,61513,60237,67022,3328,27862,68272,77.4,71.55,90.1,88.23,98.17,83.78,15.93,81.79,8.31,7.51,90.16,89.24,71.05
Nov,Maharashtra,Beed,26292,19184,2633,6036,4108,15964,405,6.67,34.92,14.56,17.51,1941,15207,44402,44783,48675,2748,20669,49605,70.63,73.57,89.51,90.28,98.13,83.51,10.41,79.89,6.89,5.6,90.1,89.26,72.67
Nov,Maharashtra,Bhandara,13439,8779,905,2494,1945,7374,196,5.54,36.14,13.77,14.76,1094,6878,18627,18867,20599,1493,9015,20983,73.28,76.3,88.77,89.92,98.17,83.04,24.81,80.38,25.16,15.31,90.95,90.49,73.35
Nov,Maharashtra,Buldana,23549,15348,2443,5690,4866,19958,341,7.44,35.52,16.23,15.62,2060,15679,44241,43952,49544,2500,20206,50279,82.4,77.6,87.99,87.42,98.54,87.49,30.23,82.47,12.8,15.04,95.16,94.63,75.58
Nov,Maharashtra,Chandrapur,24608,20034,1962,4233,4257,15990,357,5.96,42.88,18.05,21.02,1504,10958,32402,31970,34864,2006,14434,35364,74.98,75.92,91.62,90.4,98.59,85.39,29.32,86.27,20.08,14.97,94.82,94.24,74.47
Nov,Maharashtra,Dhule,23510,20539,1898,4890,5487,17820,412,6.89,44.61,19.12,19.9,1886,13816,37504,36038,41828,2345,18744,42467,80.43,73.71,88.31,84.86,98.5,83.36,17.97,78.58,9.3,7.37,89.39,88.27,68.25
Nov,Maharashtra,Gadchiroli,16747,13714,1445,4225,5261,15817,261,10.05,53.84,33.52,19.86,1052,6591,17947,17370,20205,1544,9903,20605,68.13,66.56,87.1,84.3,98.06,76.16,13.2,71.15,19.95,12.42,85.56,84.55,66.05
Nov,Maharashtra,Gondia,16712,9907,1323,3296,2544,9669,283,5.87,33.8,14.41,17.74,1339,8118,22842,23317,25777,1715,10562,26174,78.08,76.86,87.27,89.08,98.48,86.86,24.54,81.93,25.37,15.01,94.5,94.21,74.72
Nov,Maharashtra,Hingoli,10849,8849,1188,2690,2916,9631,245,7.91,40.08,19.58,20.87,1037,7589,20370,20241,22565,1388,11009,23046,74.71,68.93,88.39,87.83,97.91,79.52,7.18,74.92,13.64,3.82,84.29,83.51,66.72
Nov,Maharashtra,Jalgaon,45342,26408,3839,10410,6882,29411,517,6.61,33.22,15.41,14.89,3154,23601,69868,67195,75227,4098,31293,76436,76.96,75.42,91.41,87.91,98.42,88.91,49.22,84.7,11.56,8.4,92.81,91.74,73
Nov,Maharashtra,Jalna,22363,17523,3035,5980,4281,14227,412,7.89,34.76,13.99,23.04,1691,12703,35580,35193,39352,2177,16936,40267,77.68,75.01,88.36,87.4,97.73,87.44,10.74,81.1,8.88,7.8,93.75,93.02,75.15
Nov,Maharashtra,Kolhapur,27093,11925,1726,5873,3560,14955,330,4.54,23.31,10.09,13.64,2185,15912,53940,54985,59105,2865,21198,59680,76.27,75.06,90.38,92.13,99.04,89.43,27.38,85.79,12.56,5.86,94.01,93.4,73.13
Nov,Maharashtra,Latur,16965,11695,1986,3711,3425,11332,386,6.41,32.18,13.01,18.58,1706,12771,36635,36305,39214,2457,17937,40158,69.43,71.2,91.23,90.41,97.65,82.92,9.1,81.19,12.26,7.52,89.57,88.53,70.79
