"month_n","state_n","district_n","block_n","no_anemic_wmn","no_pregnant_women","no_tenatus_cmpltd","no_wmn_rstg_drg_prgncy","no_wmn_etg_xtr_ml_drg_prgncy","no_trmstr_3wmn_cnsld_imdtbf","no_wmn_4_anc_vst_dlvry","no_wmn_1_anc_vst_dlvry","prnt_anwmic_wmn","prnt_tenatus_wmn","prnt_4_anc_vst_dlvry","prnt_1_anc_vst_dlvry","prnt_wmn_etg_xtr_ml_drng_prgncy","prnt_wmn_rstg_drg_prgncy","prnt_trmstr_3wmn_cnsld_imdtbf"
"Nov","Maharashtra","Sindhudurg","Kankavli",43,326,127,280,281,226,7,149,13.19,38.96,2.15,45.71,86.20,85.89,69.33
"Nov","Maharashtra","Sindhudurg","Kudal",122,521,284,485,483,379,50,425,23.42,54.51,9.60,81.57,92.71,93.09,72.74
"Nov","Maharashtra","Sindhudurg","Malwan",49,222,141,206,206,168,20,189,22.07,63.51,9.01,85.14,92.79,92.79,75.68
"Nov","Maharashtra","Sindhudurg","Sawantwadi",76,429,233,401,399,353,60,372,17.72,54.31,13.99,86.71,93.01,93.47,82.28
"Nov","Maharashtra","Sindhudurg","Vaibhavvadi",7,117,57,94,94,69,0,51,5.98,48.72,0.00,43.59,80.34,80.34,58.97
"Nov","Maharashtra","Sindhudurg","Vengurla",46,234,131,229,227,189,49,165,19.66,55.98,20.94,70.51,97.01,97.86,80.77
"Nov","Maharashtra","Solapur","Akkalkot",144,1596,619,1505,1515,1139,109,1032,9.02,38.78,6.83,64.66,94.92,94.30,71.37
"Nov","Maharashtra","Solapur","Barshi",232,2483,992,2329,2331,1870,203,1543,9.34,39.95,8.18,62.14,93.88,93.80,75.31
"Nov","Maharashtra","Solapur","Karmala",121,1325,456,1253,1251,951,75,906,9.13,34.42,5.66,68.38,94.42,94.57,71.77
"Nov","Maharashtra","Solapur","Madha",194,1975,528,1696,1708,1207,112,1247,9.82,26.73,5.67,63.14,86.48,85.87,61.11
"Nov","Maharashtra","Solapur","Malshiras",281,2884,1120,2657,2692,2203,394,1993,9.74,38.83,13.66,69.11,93.34,92.13,76.39
"Nov","Maharashtra","Solapur","Mangalvedhe",105,1223,418,1040,1036,824,35,542,8.59,34.18,2.86,44.32,84.71,85.04,67.38
"Nov","Maharashtra","Solapur","Mohol",184,1847,674,1595,1607,1251,131,1253,9.96,36.49,7.09,67.84,87.01,86.36,67.73
"Nov","Maharashtra","Solapur","Pandharpur",222,3093,1148,2803,2811,2186,326,1881,7.18,37.12,10.54,60.81,90.88,90.62,70.68
"Nov","Maharashtra","Solapur","Sangole",90,1861,610,1564,1587,1146,77,900,4.84,32.78,4.14,48.36,85.28,84.04,61.58
"Nov","Maharashtra","Solapur","Solapur North",361,2742,884,2384,2380,1890,165,1942,13.17,32.24,6.02,70.82,86.80,86.94,68.93
"Nov","Maharashtra","Solapur","Solapur South",140,1959,687,1808,1802,1410,113,1233,7.15,35.07,5.77,62.94,91.99,92.29,71.98
"Nov","Maharashtra","Thane","Ambarnath",168,1546,606,1492,1481,1238,131,1121,10.87,39.20,8.47,72.51,95.80,96.51,80.08
"Nov","Maharashtra","Thane","Bhiwandi",611,4266,1686,3895,3898,3215,372,3067,14.32,39.52,8.72,71.89,91.37,91.30,75.36
"Nov","Maharashtra","Thane","Kalyan",204,1925,677,1793,1788,1410,151,1487,10.60,35.17,7.84,77.25,92.88,93.14,73.25
"Nov","Maharashtra","Thane","Murbad",227,1118,483,1067,1068,807,87,821,20.30,43.20,7.78,73.43,95.53,95.44,72.18
"Nov","Maharashtra","Thane","Shahapur",331,2251,830,2001,2012,1499,222,1643,14.70,36.87,9.86,72.99,89.38,88.89,66.59
"Nov","Maharashtra","Thane","Thane",511,5433,2273,5004,5014,4077,436,3853,9.41,41.84,8.03,70.92,92.29,92.10,75.04
