"month_n","state_n","district_n","sub_district","no_chld_bf_at_birth","no_chld_appr_cf","no_chld_excly_bf","no_chld_rcvg_cf_wid_adq_dt_dvsty","no_chld_intd_cf_past30d","no_chld_cf_wid_adq_dt_qnty","tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg","no_of_chld_cmpltd_1yr_immunzt","total_no_chld_enrld_cas_born_lstmnth","total_no_chld_0t6mnths_enrld_cas","no_chld_appr_cf","prnt_chld_bf_at_birth","prnt_chld_excly_bf","prnt_chld_rcvg_cf_wid_adq_dt_dvsty","prnt_chld_cf_wid_adq_dt_qnty","per_no_chld_cf_wid_appr_hndwhg_bfr_fdg","prnt_chld_intd_cf_p30d","prnt_child_1yr_immnztn","prnt_intd_cf_6to24mnth_child"
"Dec","Maharashtra","Ahmadnagar","Sangamner",337,8656,2606,8112,1336,8267,8554,8240,400,3375,8656,84.25,77.21,93.72,95.51,98.82,93.43,31.02,91.03
"Dec","Maharashtra","Ahmadnagar","Shevgaon",224,4930,1540,4458,689,4533,4853,1576,273,2022,4930,82.05,76.16,90.43,91.95,98.44,85.38,9.30,82.43
"Dec","Maharashtra","Ahmadnagar","Shrigonda",246,5251,1678,4950,836,4900,5197,5959,294,2123,5251,83.67,79.04,94.27,93.32,98.97,91.77,36.72,91.38
"Dec","Maharashtra","Ahmadnagar","Shrirampur",183,3974,1331,3751,600,3699,3888,3990,219,1649,3974,83.56,80.72,94.39,93.08,97.84,93.90,30.05,91.13
"Dec","Maharashtra","Akola","Akola",473,11951,3821,10449,1711,10049,11788,3876,575,5033,11951,82.26,75.92,87.43,84.09,98.64,83.14,9.64,78.89
"Dec","Maharashtra","Akola","Akot",135,3222,1035,2816,445,2857,3167,2160,180,1401,3222,75.00,73.88,87.40,88.67,98.29,87.77,20.03,80.41
"Dec","Maharashtra","Akola","Balapur",102,2687,853,2236,370,2163,2655,421,143,1191,2687,71.33,71.62,83.22,80.50,98.81,75.98,4.48,72.25
"Dec","Maharashtra","Akola","Barshitakli",99,2643,787,2342,369,2205,2610,679,127,1132,2643,77.95,69.52,88.61,83.43,98.75,74.25,6.84,72.06
"Dec","Maharashtra","Akola","Murtijapur",84,2206,688,1913,325,1858,2179,853,122,966,2206,68.85,71.22,86.72,84.22,98.78,77.94,11.20,75.70
"Dec","Maharashtra","Akola","Patur",100,2392,733,2123,366,2024,2355,1352,148,1022,2392,67.57,71.72,88.75,84.62,98.45,89.49,16.37,82.96
"Dec","Maharashtra","Akola","Telhara",136,3052,986,2564,431,2328,2966,1361,176,1330,3052,77.27,74.14,84.01,76.28,97.18,82.88,12.49,73.26
"Dec","Maharashtra","Amravati","Achalpur",315,7975,2292,7014,1267,6673,7845,9754,391,3236,7975,80.56,70.83,87.95,83.67,98.37,87.14,38.61,81.33
