month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svrly_wstd,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wstd_chld,stntd_chld,uw_chld,svrly_wasting_percent,wasting_percent,svrly_stunting_percent,stunting_percent,svrly_underweight_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_appr_cf,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_intd_cf_past30d,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,no_of_chld_cmpltd_1yr_immunzt,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_chld_intd_cf_p30d,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,no_anemic_wmn,no_pregnant_women,no_tenatus_cmpltd,no_wmn_rstg_drg_prgncy,no_wmn_etg_xtr_ml_drg_prgncy,no_trmstr_3wmn_cnsld_imdtbf,no_wmn_4_anc_vst_dlvry,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Jan,Maharashtra,Chandrapur,25270,19348,1294,3772,3580,14978,269,5066,44618,18558,1.2,4.7,17.93,41.34,3.15,16.31,19.62,1223,35430,10958,32775,4698,31919,34983,38646,1593,14440,35430,76.77,75.89,92.51,90.09,98.74,86.63,33.19,88.42,2191,10445,4492,9887,9970,7963,2165,20.98,20.73,95.45,94.66,76.24
Jan,Maharashtra,Dhule,26858,20074,1441,4617,4780,17377,364,6058,46932,22157,1.22,5.12,16.94,39.6,3.47,16.07,20.46,1634,44912,13702,40005,7143,38165,44372,30351,2000,18441,44912,81.7,74.3,89.07,84.98,98.8,88.83,21.04,82.79,1261,13029,4474,11972,12136,9585,1192,9.68,9.15,93.15,91.89,73.57
Jan,Maharashtra,Gadchiroli,17418,13459,1131,3641,4437,15288,205,4772,30877,19725,1.9,8.03,22.61,51.87,6.81,30.26,19.96,868,22112,7046,19521,2844,18677,21719,12534,1144,9923,22112,75.87,71.01,88.28,84.47,98.22,79.35,16.62,78.65,1622,7343,3150,6593,6681,5069,1087,22.09,14.8,90.98,89.79,69.03
Jan,Maharashtra,Gondia,19572,9934,1185,3799,2747,11481,230,4984,29506,14228,1.41,5.91,11.78,34.99,3.14,16.25,16.16,1230,26016,8348,23161,3491,22943,25707,23620,1532,10729,26016,80.29,77.81,89.03,88.19,98.81,89.19,28.77,85.22,2061,8254,4015,7869,7878,6388,1944,24.97,23.55,95.44,95.34,77.39
Jan,Maharashtra,Hingoli,14130,10112,1285,2911,2571,9914,191,4196,24242,12485,1.89,6.16,14.83,35.55,3.13,15.21,19.27,886,25813,8272,23437,3785,22715,25353,9692,1102,10862,25813,80.4,76.16,90.8,88,98.22,89.27,11.4,85.01,1209,8270,3068,7622,7680,6161,950,14.62,11.49,92.87,92.16,74.5
Jan,Maharashtra,Jalgaon,44134,20610,2393,9179,5481,26230,442,11572,64744,31711,1.1,5.3,9.42,29.6,2.34,13.52,14.74,2765,78274,22575,72401,11657,68909,77185,169349,3411,30441,78274,81.06,74.16,92.5,88.04,98.61,89.96,67.21,87.84,2664,23372,11872,21933,22155,17410,7041,11.4,30.13,94.79,93.84,74.49
Jan,Maharashtra,Jalna,22680,16570,1843,5155,3179,12868,288,6998,39250,16047,1.51,5.74,13.55,32.11,2.34,11.81,19.47,1404,41362,12410,37172,6343,36167,40472,18169,1732,16510,41362,81.06,75.17,89.87,87.44,97.85,88.4,13.11,83.98,1238,13697,4569,12820,12947,10115,1594,9.04,11.64,94.52,93.6,73.85
Jan,Maharashtra,Kolhapur,28181,11138,1197,5280,3159,14805,255,6477,39319,17964,0.69,3.72,6.39,22.57,1.68,9.54,12.18,1970,60797,15885,55875,8458,56072,60289,58700,2442,20911,60797,80.67,75.96,91.9,92.23,99.16,91.04,30.06,89,2112,17408,6886,16682,16765,13531,1559,12.13,8.96,96.31,95.83,77.73
Jan,Maharashtra,Latur,17707,10912,1322,3118,2691,10359,332,4440,28619,13050,1.44,4.82,11.84,31.04,2.34,11.33,19.89,1481,41574,12697,38475,5869,37635,40628,24822,1952,17322,41574,75.87,73.3,92.55,90.53,97.72,83.71,18.07,85.47,1643,13100,4795,11943,12072,9565,1860,12.54,14.2,92.15,91.17,73.02
Jan,Maharashtra,Mumbai City,6139,3531,929,2488,1369,5359,70,3417,9670,6728,2.79,10.26,10.54,28.86,3.25,15.98,18.37,345,16612,4044,14898,2142,14962,16491,7630,449,5570,16612,76.84,72.6,89.68,90.07,99.27,82.16,11.62,81.06,192,2984,629,2649,2636,2110,167,6.43,5.6,88.34,88.77,70.71
Jan,Maharashtra,Mumbai Suburban,33490,19466,4257,11852,6617,27520,319,16109,52956,34137,2.74,10.37,12.48,33.94,3.3,17.05,16.6,1744,79812,19168,70114,10110,73863,79023,52501,2168,25432,79812,80.44,75.37,87.85,92.55,99.01,86.15,17.62,81.95,1176,14452,3569,13667,13698,11068,893,8.14,6.18,94.78,94.57,76.58
Jan,Maharashtra,Nagpur,29620,17269,2309,6060,4224,19027,451,8369,46889,23251,1.58,5.74,11.82,32.08,2.36,12.98,16.62,2462,62961,19079,57190,8677,55540,62043,50142,2974,25520,62961,82.78,74.76,90.83,88.21,98.54,85.5,25.04,85.14,2806,18441,6686,17099,17151,13561,2592,15.22,14.06,93,92.72,73.54
Jan,Maharashtra,Nanded,28432,19689,2307,5322,4433,17600,479,7629,48121,22033,1.46,4.84,12.45,30.43,2.21,10.97,16.54,2450,66468,21466,60590,9750,59231,64933,30541,3169,28530,66468,77.31,75.24,91.16,89.11,97.69,88,13.92,84.57,2438,19487,6820,18001,18133,14362,2563,12.51,13.15,93.05,92.37,73.7
Jan,Maharashtra,Nandurbar,32700,35658,1329,6450,10757,32000,292,7779,68358,42757,1.23,7.21,32.98,63.23,9.43,37.5,17.43,1505,35077,12005,30557,5697,29917,34435,20237,1933,16595,35077,77.86,72.34,87.11,85.29,98.17,84.15,17.52,79.83,1606,10700,4019,9774,9907,7324,1309,15.01,12.23,92.59,91.35,68.45
